name,story,year
Jack Flanders,The Fourth Tower of Inverness,1972
Little Freida,The Fourth Tower of Inverness,1972
Dr. Mazoola,The Fourth Tower of Inverness,1972
The Madonna Vampyra,The Fourth Tower of Inverness,1972
Chief Wampum,The Fourth Tower of Inverness,1972
Old Far-Seeing Art,The Fourth Tower of Inverness,1972
Lord Henry Jowls,The Fourth Tower of Inverness,1972
Meanie Eenie,The Fourth Tower of Inverness,1972
Lady Sarah Jowls,The Fourth Tower of Inverness,1972
Jack Flanders,Moon Over Morocco,1973
Kashbah Kelly,Moon Over Morocco,1973
Mojo Sam,Moon Over Morocco,1973
Little Flossic,Moon Over Morocco,1973
Sunny Skies,Moon Over Morocco,1973
Layla Oolupi,Moon Over Morocco,1973
Queen Azora,Moon Over Morocco,1973
Grand Wazir,Moon Over Morocco,1973
Story Teller Mustafa,Moon Over Morocco,1973
Comtese Zazeenia,Moon Over Morocco,1973
Abu,Moon Over Morocco,1973
Taxi Driver,Moon Over Morocco,1973
Marmaduke,Moon Over Morocco,1973
Jack Flanders,The Ah-Ha Phenomenon,1977
Sir Seymour Jowls,The Ah-Ha Phenomenon,1977
Cynthia,The Ah-Ha Phenomenon,1977
Troll,The Ah-Ha Phenomenon,1977
Chief Wampum,The Ah-Ha Phenomenon,1977
Wizard,The Ah-Ha Phenomenon,1977
Jack Flanders,The Incredible Adventures of Jack Flanders,1978
Little Frieda,The Incredible Adventures of Jack Flanders,1978
Dr. Mazoola,The Incredible Adventures of Jack Flanders,1978
Captain Swallow,The Incredible Adventures of Jack Flanders,1978
Marquis of Carambas,The Incredible Adventures of Jack Flanders,1978
Mojo Sam,The Incredible Adventures of Jack Flanders,1978
The Pirate Queen,The Incredible Adventures of Jack Flanders,1978
Old Far-Seeing Art,The Incredible Adventures of Jack Flanders,1978
Owl Eyes,The Incredible Adventures of Jack Flanders,1978
Sorcerer,The Incredible Adventures of Jack Flanders,1978
Chief Wampum,The Incredible Adventures of Jack Flanders,1978
Waitress,The Incredible Adventures of Jack Flanders,1978
Sailors,The Incredible Adventures of Jack Flanders,1978
Pirates,The Incredible Adventures of Jack Flanders,1978
Jack Flanders,Dreams of Rio,1987
Mojo Sam,Dreams of Rio,1987
Carla D'Avila,Dreams of Rio,1987
Paulo Pompadora,Dreams of Rio,1987
Carmen,Dreams of Rio,1987
Short Top Detroit,Dreams of Rio,1987
Claudia Guedes,Dreams of Rio,1987
Gas Station Attendant,Dreams of Rio,1987
Big Frieda,Dreams of Rio,1987
Professor Klaus Vargas,Dreams of Rio,1987
Mia Josefa,Dreams of Rio,1987
Talking Statue,Dreams of Rio,1987
Zeca,Dreams of Rio,1987
Museum Guard,Dreams of Rio,1987
Kelley,Dreams of Rio,1987
Short Top's Secretary,Dreams of Rio,1987
Dave Herman,Dreams of Rio,1987
Zuom,Dreams of Rio,1987
Jack Flanders,Travels with Jack,1992
Jack Flanders,Dreams of the Amazon,1992
Tereza Cavalcanti,Dreams of the Amazon,1992
Paulo Pompadora,Dreams of the Amazon,1992
Claudia Guedes,Dreams of the Amazon,1992
Terry Newman,Dreams of the Amazon,1992
Prefessor Elvis,Dreams of the Amazon,1992
Chico,Dreams of the Amazon,1992
Jack Flanders,Dreams of India,1992
Kamala Shukla,Dreams of India,1992
Lalitha Chatterjee,Dreams of India,1992
Ramchandra,Dreams of India,1992
The Djin,Dreams of India,1992
Jack Flanders,Dreams of Bali,1992
Tiffany,Dreams of Bali,1992
Made,Dreams of Bali,1992
Nani,Dreams of Bali,1992
Man in Hotel,Dreams of Bali,1992
Black Magic Woman,Dreams of Bali,1992
Wise Old Man,Dreams of Bali,1992
Jack Flanders,Dreams of Sumtra,1992
Louise Nettles,Dreams of Sumtra,1992
Indranee DeSilva,Dreams of Sumtra,1992
Mojo Sam,Dreams of Sumtra,1992
Wu Ling,Dreams of Sumtra,1992
Jesse Nettles,Dreams of Sumtra,1992
Henry,Dreams of Sumtra,1992
Story Teller,Dreams of Sumtra,1992
Jack Flanders,The Mystery of Jaguar Reef,1996
Carmen,The Mystery of Jaguar Reef,1996
Cassie,The Mystery of Jaguar Reef,1996
Paulina,The Mystery of Jaguar Reef,1996
Antonio,The Mystery of Jaguar Reef,1996
Captian Coco,The Mystery of Jaguar Reef,1996
Dr. Weiss,The Mystery of Jaguar Reef,1996
Popeyes,The Mystery of Jaguar Reef,1996
Pirate Pete,The Mystery of Jaguar Reef,1996
Hook,The Mystery of Jaguar Reef,1996
